mpg_id,mpg_city,mpg_hwy
1,30,37
2,20,27
3,21,27
4,38,38
5,29,31
6,26,32
7,23,29
8,24,30
9,17,23
10,22,29
11,28,36
12,27,34
13,25,32
14,19,28
15,18,26
16,19,28
17,19,28
18,17,25
19,19,28
20,19,28
21,17,25
22,17,25
23,19,28
24,17,25
25,32,41
26,30,40
27,31,40
28,32,40
29,20,27
30,48,47
31,46,41
32,18,25
33,26,36
34,24,31
35,23,33
36,21,30
37,20,30
38,25,36
39,21,27
40,20,23
41,16,22
42,19,22
43,19,24
44,18,24
45,22,30
46,17,24
47,17,25
48,22,29
49,17,22
50,20,23
51,18,24